road_type,vehicle_type,year,value,units
Major roads (M and A),Cars,2009,22496,Vehicle Kilometers (Millions)
Major roads (M and A),Cars,2010,21998,Vehicle Kilometers (Millions)
Major roads (M and A),Cars,2011,21986,Vehicle Kilometers (Millions)
Major roads (M and A),Cars,2012,22170,Vehicle Kilometers (Millions)
Major roads (M and A),Cars,2013,22217,Vehicle Kilometers (Millions)
Major roads (M and A),Cars,2014,22418,Vehicle Kilometers (Millions)
Major roads (M and A),Cars,2015,22573,Vehicle Kilometers (Millions)
Major roads (M and A),Cars,2016,23220,Vehicle Kilometers (Millions)
Major roads (M and A),Cars,2017,23453,Vehicle Kilometers (Millions)
Major roads (M and A),Cars,2018,23470,Vehicle Kilometers (Millions)
Major roads (M and A),Cars,2019,24119,Vehicle Kilometers (Millions)
Major roads (M and A),Two Wheeled Motor Vehicles,2009,196,Vehicle Kilometers (Millions)
Major roads (M and A),Two Wheeled Motor Vehicles,2010,181,Vehicle Kilometers (Millions)
Major roads (M and A),Two Wheeled Motor Vehicles,2011,181,Vehicle Kilometers (Millions)
Major roads (M and A),Two Wheeled Motor Vehicles,2012,171,Vehicle Kilometers (Millions)
Major roads (M and A),Two Wheeled Motor Vehicles,2013,176,Vehicle Kilometers (Millions)
Major roads (M and A),Two Wheeled Motor Vehicles,2014,184,Vehicle Kilometers (Millions)
Major roads (M and A),Two Wheeled Motor Vehicles,2015,181,Vehicle Kilometers (Millions)
Major roads (M and A),Two Wheeled Motor Vehicles,2016,180,Vehicle Kilometers (Millions)
Major roads (M and A),Two Wheeled Motor Vehicles,2017,181,Vehicle Kilometers (Millions)
Major roads (M and A),Two Wheeled Motor Vehicles,2018,182,Vehicle Kilometers (Millions)
Major roads (M and A),Two Wheeled Motor Vehicles,2019,186,Vehicle Kilometers (Millions)
Major roads (M and A),Buses,2009,329,Vehicle Kilometers (Millions)
Major roads (M and A),Buses,2010,353,Vehicle Kilometers (Millions)
Major roads (M and A),Buses,2011,352,Vehicle Kilometers (Millions)
Major roads (M and A),Buses,2012,363,Vehicle Kilometers (Millions)
Major roads (M and A),Buses,2013,365,Vehicle Kilometers (Millions)
Major roads (M and A),Buses,2014,366,Vehicle Kilometers (Millions)
Major roads (M and A),Buses,2015,369,Vehicle Kilometers (Millions)
